0,lct,acc,coop,qunt,qual,expert
57,0.5,0.02,0,0.50324622,0.001425389,0
58,0.5,0.02,0,0.50324622,0.001425389,0
59,0.35,0.02,0,0.352284681,0.001425389,0
60,0.5,0.02,0,0.50324622,0.025494957,0
61,0.45,0.02,0,0.452925707,0.001425389,0
62,0.5,0.02,0,0.50324622,0.001425389,0
63,0.15,0.02,0,0.15100263,0.001425389,0
64,0.4,0.02,0,0.402605194,0.001425389,0
65,0.5,0.02,0,0.50324622,0.001425389,0
66,0.35,0.02,0,0.352284681,0.001425389,0
67,0.5,0.02,0,0.50324622,0.001425389,0
68,0.35,1,0,0.352284681,0.001425389,0
69,0.5,0.02,0,0.50324622,0.001425389,0
70,0.5,0.02,0,0.50324622,0.001425389,0
71,0.45,0.02,0,0.452925707,0.001425389,0
72,0.45,0.02,0,0.452925707,0.001425389,0
73,0.5,0.02,0,0.50324622,0.001425389,0
74,0.5,1,0,0.503328402,0.326899257,0
75,0.45,0.02,0,0.452925707,0.001425389,0
76,0.5,1,0,0.50324622,0.001425389,0
77,0.5,0.02,0,0.503369494,0.349581102,0
78,0.5,0.02,0,0.50324622,0.001425389,0
79,0.45,0.02,0,0.452925707,0.001425389,0
80,0.45,0.02,0,0.452925707,0.001425389,0
81,0.5,0.02,0,0.50324622,0.001425389,0
82,0.5,0.02,0,0.50324622,0.001425389,0
83,0.5,0.02,0,0.503287311,0.002850778,0
84,0.5,0.02,0,0.50324622,0.001425389,0
85,0.5,0.02,0,0.50324622,0.001425389,0
86,0.5,0.02,0,0.50324622,0.001425389,0
87,0.5,0.02,0,0.50324622,0.001425389,0
88,0.5,0.02,0,0.50324622,0.001425389,0
89,0.5,0.02,0,0.50324622,0.001425389,0
90,0.5,0.02,0,0.50324622,0.001425389,0
91,0.5,0.02,0,0.50324622,0.001425389,0
92,0.5,0.02,0,0.50324622,0.001425389,0
93,0.5,0.02,0,0.50324622,0.001425389,0
94,0.5,0.02,0,0.50324622,0.001425389,0
95,0.4,0.02,0,0.402605194,0.001425389,0
96,0.45,0.02,0,0.452925707,0.001425389,0
97,0.5,0.02,0,0.50324622,0.001425389,0
98,0.45,0.02,0,0.452925707,0.001425389,0
99,0.5,0.02,0,0.50324622,0.001425389,0
100,0.5,0.02,0,0.50324622,0.001425389,0
101,0,1,0,0.000164366,0.358116407,0
102,0.5,1,0,0.50324622,0.235105494,0
103,0.5,0.02,0,0.50324622,0.244045892,0
104,0.15,1,0,0.151043721,0.002850778,0
105,0.5,1,0,0.50324622,0.243981779,0
106,0.5,0.02,0,0.50324622,0.239500034,0
107,0.5,0.02,0,0.50324622,0.24216757,0
108,0.5,1,0,0.50324622,0.240202717,0
109,0.5,1,0,0.50324622,0.245240932,0
110,0.5,0.02,0,0.50324622,0.242643322,0
111,0.5,0.02,0,0.50324622,0.239585607,0
112,0.5,1,0,0.50324622,0.240272301,0
113,0.25,1,0,0.251684747,0.278786133,0
114,0.5,1,0,0.503287311,0.292293536,0
115,0.5,1,0,0.503287311,0.300488658,0
116,0.5,1,0,0.50324622,0.239953714,0
117,0.5,0.02,0,0.50324622,0.236298099,0
118,0.5,1,0,0.50324622,0.242071672,0
119,0.5,1,0,0.503287311,0.300073753,0
120,0.5,0.02,0,0.50324622,0.240211466,0
121,0.5,1,0,0.50324622,0.241310296,0
122,0.5,0.02,0,0.50324622,0.243399046,0
123,0.5,0.02,0,0.503287311,0.304412711,0
124,0.5,1,0,0.50324622,0.242685105,0
125,0.5,0.02,0,0.503287311,0.242789099,0
126,0.5,0.02,0,0.50324622,0.041924993,0
127,0.5,1,0,0.50324622,0.235079264,0
128,0.5,1,0,0.50324622,0.241502252,0
129,0.25,1,0,0.251684747,0.235315938,0
130,0.5,0.02,0,0.50324622,0.243252196,0
131,0.5,0.02,0,0.50324622,0.240270943,0
