name,inst,ntisQual,remainQual,lct,acc,coop,qunt,qual,expert
배해영,인하대학교,0,1.481604541,0.15,1,0,0.15100263,0.022157786,0
조현석,서울과학기술대학교,2.927616429,7.556577399,0.265,0.02,0,0.266945266,0.35463764,0
김철진,인하공업전문대학,0,0.09531018,0.15,0.02,0,0.15100263,0.001425389,0
황승구,한국전자통신연구원,0,0.19062036,0.275,0.02,0,0.276845003,0.002850778,0
박상무,울산대학교,0,0.19062036,0.15,0.02,0,0.151043721,0.002850778,0
이중엽,한국재활복지대학 컴퓨터영상디자인과,0,0.09531018,0.15,1,0.006944444,0.15100263,0.001425389,0
윤홍주,부경대학교,0,11.34176653,0.37,1,0.013888889,0.372700526,0.169619108,0
도남철,경상대학교,4.243330628,0.09531018,0.4,1,0,0.402728468,0.351643192,0
민옥기,SW원천기술연구팀,0,0.09531018,0.15,0.02,0,0.15100263,0.001425389,0
구평회,부경대학교,0,3.391147046,0.2,1,0,0.201323143,0.050715498,0
김연복,인하대학교,0,0.19062036,0.225,0.02,0,0.22652449,0.002850778,0
정한민,한국과학기술정보연구원 소프트웨어연구실,0,6.563325626,0.19,1,0,0.191423406,0.098156265,0
김영균,한국전자통신연구원,0,0.285930539,0.3,1,0,0.302046351,0.004276167,0
방효찬,한국전자통신연구원,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
백송훈,KT 종합기술원,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
문철,한국교통대학교,4.135762993,0.09531018,0.235,1,0,0.236670776,0.342765236,0
서동욱,연세대학교,0,3.039749159,0.2,0.02,0,0.201323143,0.04546025,0
권순동,충북대학교,0,0.09531018,0.2,0.02,0,0.201323143,0.001425389,0
조완섭,충북대학교,4.303033459,15.25182331,0.465,1,0.076388889,0.469213511,0.583240336,0
한명묵,가천대학교,5.459653482,3.841278601,0.38,1,0,0.38309336,0.50805277,0
전순천,김포대학교,0,0.09531018,0.2,0.02,0,0.201323143,0.001425389,0
반효경,이화여자대학교,4.276931196,0.09531018,0.41,1,0,0.412833662,0.354416371,0
신창옥,경성대학교,0,2.397895273,0.2,0.02,0,0.201323143,0.035861156,0
송민,연세대학교,5.913770601,8.910362481,0.4,1,0,0.403509204,0.621342224,0
최치환,충북대학교,0,2.493205453,0.2,0.02,0,0.201323143,0.037286545,0
김선배,호서대학교,0,3.687127921,0.215,1,0.006944444,0.216501479,0.05514197,0
조원희,법무법인 태평양,0,0.19062036,0.2,1,0.013888889,0.201364234,0.002850778,0
김장일,굿아이티,0,0.09531018,0.2,0.02,0.006944444,0.201323143,0.001425389,0
윤호상,국방과학연구소,0,1.704748092,0.2,1,0,0.201323143,0.025494957,0
염흥열,순천향대학교,0,1.704748092,0.2,1,0.006944444,0.201323143,0.025494957,0
진달래,한국보건사회연구원,0,2.675527009,0.225,1,0.006944444,0.22652449,0.040013212,0
박창이,서울시립대학교,4.482229579,0.19062036,0.42,1,0,0.422979947,0.372785796,0
정희자,호남대학교,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
유재수,충북대학교,6.058130962,13.82204007,0.41,1,0.0625,0.415833333,0.706712252,1
정익래,고려대학교,0,3.080992118,0.2,1,0,0.201364234,0.046077049,0
류원,지능형융합미디어연구부,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
류원,한국전자통신연구원,0,0.19062036,0.175,1,0,0.176203978,0.002850778,0
노병규,한국방송통신전파진흥원,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
허성진,실시간분석인프라연구팀,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
김현기,지식마이닝연구팀,0,0.19062036,0.225,1,0,0.22652449,0.002850778,0
김현기,한국전자통신연구원 자동통역지식처리연구센터,0,0.381240719,0.21,0.02,0.006944444,0.211510519,0.005701555,0
방승찬,한국전자통신연구원 무선전송연구부,0,0.09531018,0.2,1,0,0.201323143,0.001425389,0
원중호,서울대학교,4.691184528,1.193922468,0.48,1,0,0.483364563,0.40503627,0
원중호,고려대학교,2.886300132,2.397895273,0.225,1,0,0.22652449,0.274078202,0
오선진,세명대학교,0,0.19062036,0.425,1,0,0.427806542,0.002850778,0
이봉규,연세대학교,0,4.34775191,0.42,1,0.013888889,0.422856673,0.065021776,0
임동훈,경상대학교,0,2.181298991,0.34,1,0.006944444,0.342426036,0.032621901,0
이규필,아주대학교,0,0.09531018,0.25,1,0,0.251643655,0.001425389,0
이정원,아주대학교,4.012086276,0.381240719,0,1,0,0.000246548,0.336833905,0
이건학,서울대학교,2.8373081,5.137960803,0.36,1,0,0.362472058,0.311013111,0
강만모,울산대학교,0,0.19062036,0.25,1,0.013888889,0.251684747,0.002850778,0
박윤재,서울대학교,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
박상휘,한국외국어대학교,0,3.230804396,0.25,1,0,0.251643655,0.048317531,0
서해수,(주)지오씨엔아이,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
남승오,순천향대학교,0,0.09531018,0.25,0.02,0.006944444,0.251643655,0.001425389,0
김남규,국민대학교,0,13.34946417,0.4,1,0,0.402933925,0.199644755,0
육현승,고려대학교,0,1.481604541,0.25,0.02,0,0.251643655,0.022157786,0
손현석,서울대학교,4.23752324,0.09531018,0.46,1,0,0.463154175,0.351163886,0
윤성로,서울대학교,0,1.672224901,0.265,1,0,0.266821992,0.025008564,0
백창룡,성균관대학교,4.663060675,0.09531018,0,1,0.006944444,0.000246548,0.386285068,0
송진희,신한대학교,0,0.09531018,0.25,0.02,0.006944444,0.251643655,0.001425389,0
한경석,숭실대학교,0,9.984736468,0.495,1,0.048611111,0.498666174,0.149324365,0
류윤규,대구보건대학교,0,0.09531018,0.25,1,0.006944444,0.251643655,0.001425389,0
전주홍,서울대학교,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
김두현,한국정보화진흥원,0,0.09531018,0.25,1,0,0.251643655,0.001425389,0
임은지,한국전자통신연구원,0,0.09531018,0.25,1,0,0.251643655,0.001425389,0
송홍엽,연세대학교,3.974943763,0.09531018,0.285,1,0,0.286991289,0.329492229,0
최새봄,한국산업기술평가관리원,0,1.887069649,0.25,1,0.006944444,0.251643655,0.028221624,0
김수동,숭실대학교,2.914548432,1.193922468,0.3,0.02,0.006944444,0.30200526,0.258403909,0
윤봉규,국방대학교,0,3.186352633,0.25,1,0,0.251643655,0.047652743,0
이기원,한성대학교,0,1.479853008,0.31,1,0,0.312151545,0.022131592,0
황대훈,가천대학교,0,2.387844937,0.225,1,0.013888889,0.22652449,0.03571085,0
김종달,(주)넷스루 데이터마이닝 연구소,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
심규석,서울대학교,5.459466532,0.19062036,0.395,1,0,0.398107331,0.453440784,1
배병걸,안전행정부 국립재난안전연구원,0,2.292534757,0.25,0.02,0,0.251643655,0.034285462,0
김원중,순천대학교,0,6.699127167,0.46,1,0.020833333,0.463154175,0.100187212,0
정재필,가천대학교,0,1.481604541,0.25,1,0,0.251643655,0.022157786,0
김기응,한국과학기술원,3.623497081,0.09531018,0.45,1,0,0.45300789,0.300486032,0
백두권,고려대학교,3.568266181,0.285930539,0.31,0.02,0,0.312192636,0.298778399,0
조근식,인하대학교,4.696120665,0.09531018,0.335,1,0,0.337435076,0.389013631,0
최중인,차세대융합기술원,0,0.09531018,0.25,1,0.006944444,0.251643655,0.001425389,0
최중인,서울대학교,0,1.479853008,0.465,1,0,0.468145135,0.022131592,0
안준호,한국전기산업연구원,0,0.09531018,0.25,0.02,0.006944444,0.251643655,0.001425389,0
여정모,부경대학교,0,0.78845736,0.25,0.02,0,0.251643655,0.011791588,0
류시천,조선대학교,0,0.19062036,0.25,1,0,0.251684747,0.002850778,0
이종한,CJ헬로비전,0,0.09531018,0.25,0.02,0,0.251643655,0.001425389,0
최연정,숙명여자대학교,0,0.78845736,0.25,0.02,0,0.251643655,0.011791588,0
조영석,부산대학교,0,2.041220329,0.25,0.02,0,0.251643655,0.030526988,0
박선정,국가수리과학연구소,0,2.734367509,0.25,1,0.006944444,0.251643655,0.040893187,0
이범철,네트워크컴퓨팅융합연구실,0,0.19062036,0.25,1,0,0.251684747,0.002850778,0
박경,빅데이터 SW 플랫폼연구부,0,0.09531018,0.25,1,0,0.251643655,0.001425389,0
박경,한국전자통신연구원,0,0.09531018,0.25,1,0,0.251643655,0.001425389,0
윤명환,서울대학교,2.940067621,0,0.5,0.02,0,0.50324622,0.242654677,0
김진태,건국대학교,2.924943204,0,0.5,0.02,0,0.50324622,0.241406403,0
김진태,한국교통대학교,4.311912553,0.09531018,0,1,0,0.000205457,0.357303512,0
김윤신,한양대학교,3.585015142,0,0.5,1,0,0.503287311,0.295884586,0
김윤신,건국대학교,3.551777371,0,0.5,1,0,0.503287311,0.293141349,0
서수연,한국교통대학교,2.997237074,0,0.5,0.02,0,0.50324622,0.247373084,0
서수연,성신여자대학교,3.606026493,0.09531018,0.5,1,0,0.503328402,0.299044119,0
노구섭,경상대학교,3.736985103,0,0.5,0.02,0,0.503287311,0.30842723,0
전영수,광주과학기술원,3.647699606,0,0.5,1,0,0.503287311,0.301058167,0
백세범,한국과학기술원,3.653153316,0,0.5,1,0,0.503287311,0.301508282,0
김재진,연세대학교,3.637080658,0,0.5,1,0,0.503287311,0.300181746,0
김세주,연세대학교,3.609813101,0,0.5,1,0,0.503287311,0.297931253,0
홍창형,아주대학교,3.041002282,0,0.5,1,0,0.50324622,0.250985188,0
최수용,연세대학교,3.655061638,0,0.5,1,0,0.503287311,0.301665783,0
